age,monthly_salary,profession,education_level,location,home_status,family_wealth,marital_status,marriage_type,government_job,dowry_amount_lakhs
23,105280,Government Officer,Masters,Tier-3,Own,Middle,Married,Arranged,1,13.0
28,44567,Software Engineer,Masters,Tier-1,Own,Middle,Single,Arranged,0,16.0
26,120438,Government Officer,Masters,Tier-2,Rented,Upper,Divorced,Love,1,15.0
27,55687,Doctor,Diploma,Tier-2,Own,Upper,Single,Arranged,0,14.0
39,114336,Doctor,Diploma,Tier-2,Rented,Lower,Married,Arranged,0,4.0
30,141345,Government Officer,Bachelors,Tier-2,Own,Upper-Middle,Divorced,Arranged,1,20.0
39,111334,Freelancer,Diploma,Tier-1,Own,Middle,Divorced,Arranged,0,9.5
29,61326,Private Job,Bachelors,Rural,Rented,Middle,Married,Arranged,0,-2.0
34,144794,Private Job,Masters,Tier-1,Rented,Lower,Married,Love,0,4.0
33,84857,Private Job,PhD,Tier-2,Own,Lower,Married,Love,0,4.0
26,177804,Government Officer,Diploma,Rural,Rented,Upper,Married,Love,1,8.5
37,43327,CA,Diploma,Rural,Rented,Upper,Single,Arranged,0,8.0
25,49073,Business Owner,Diploma,Tier-3,Rented,Middle,Single,Arranged,0,8.0
37,28106,Freelancer,PhD,Tier-3,Rented,Upper,Single,Love,0,6.0
30,174051,Freelancer,Masters,Rural,Rented,Middle,Married,Arranged,0,3.5
27,56331,Government Officer,PhD,Tier-1,Rented,Upper-Middle,Single,Love,1,18.5
37,167432,CA,PhD,Tier-3,Rented,Lower,Divorced,Love,0,11.0
33,49193,Doctor,Diploma,Tier-1,Own,Middle,Single,Arranged,0,14.5
26,93519,Doctor,Bachelors,Rural,Rented,Middle,Married,Love,0,0.0
26,190469,Government Officer,Masters,Tier-2,Own,Upper,Divorced,Love,1,21.5
33,158095,Business Owner,Bachelors,Rural,Rented,Upper-Middle,Single,Love,0,11.5
30,170787,CA,Bachelors,Tier-2,Rented,Upper-Middle,Single,Arranged,0,17.5
40,139482,Government Officer,PhD,Tier-2,Rented,Lower,Divorced,Arranged,1,18.5
35,41532,Software Engineer,Bachelors,Rural,Own,Upper,Divorced,Love,0,5.0
26,135045,Software Engineer,Diploma,Tier-3,Own,Lower,Married,Love,0,4.5
36,47633,Doctor,Bachelors,Tier-3,Rented,Upper,Single,Arranged,0,10.5
29,194585,CA,Diploma,Tier-2,Own,Lower,Single,Arranged,0,20.5
40,166468,Software Engineer,Diploma,Rural,Own,Upper,Single,Love,0,15.0
32,27783,Doctor,Bachelors,Rural,Rented,Lower,Single,Love,0,6.5
38,66763,Private Job,PhD,Tier-3,Own,Lower,Married,Arranged,0,4.0
31,120041,Doctor,Masters,Rural,Own,Upper-Middle,Married,Arranged,0,7.5
33,33071,Government Officer,Masters,Rural,Rented,Upper-Middle,Single,Arranged,1,15.5
28,159407,CA,Masters,Tier-2,Rented,Middle,Divorced,Love,0,10.5
25,40200,Government Officer,Masters,Rural,Own,Lower,Married,Love,1,7.0
39,40530,CA,PhD,Rural,Rented,Upper-Middle,Divorced,Arranged,0,6.0
24,146255,Freelancer,Diploma,Tier-3,Rented,Middle,Divorced,Arranged,0,6.0
30,142501,Doctor,Bachelors,Rural,Own,Lower,Single,Love,0,15.5
34,180678,CA,PhD,Tier-3,Own,Middle,Single,Arranged,0,22.0
35,108128,CA,Masters,Tier-3,Own,Upper,Divorced,Arranged,0,12.0
35,122343,Private Job,PhD,Rural,Own,Upper-Middle,Married,Arranged,0,6.0
22,155407,Software Engineer,Diploma,Tier-2,Rented,Upper,Single,Arranged,0,15.5
34,107209,Business Owner,Bachelors,Rural,Rented,Middle,Divorced,Love,0,4.0
27,136429,CA,Masters,Tier-2,Rented,Lower,Single,Arranged,0,16.5
35,174835,Doctor,Bachelors,Tier-2,Rented,Upper,Divorced,Love,0,11.0
30,62674,Doctor,Diploma,Tier-2,Rented,Lower,Married,Love,0,-0.5
40,113004,CA,PhD,Tier-3,Rented,Middle,Divorced,Love,0,8.5
32,70861,Doctor,Bachelors,Tier-3,Rented,Lower,Married,Arranged,0,2.0
40,99149,Freelancer,Bachelors,Tier-2,Own,Upper,Single,Arranged,0,13.5
31,105744,Software Engineer,Bachelors,Tier-1,Own,Upper,Divorced,Arranged,0,13.0
25,121330,Government Officer,Bachelors,Tier-1,Own,Middle,Divorced,Arranged,1,20.0
30,137511,Software Engineer,PhD,Tier-3,Own,Lower,Married,Love,0,7.5
32,24508,CA,PhD,Tier-2,Rented,Upper,Married,Arranged,0,2.0
36,78522,Freelancer,Diploma,Rural,Rented,Upper,Divorced,Love,0,-0.5
37,121342,Software Engineer,Masters,Tier-3,Rented,Upper-Middle,Divorced,Arranged,0,10.0
35,182126,Private Job,Bachelors,Tier-1,Rented,Upper,Divorced,Arranged,0,12.0
40,28282,Freelancer,Bachelors,Rural,Own,Middle,Married,Arranged,0,-2.0
39,165942,Freelancer,Bachelors,Tier-3,Rented,Middle,Divorced,Love,0,6.0
26,151770,Software Engineer,Bachelors,Tier-2,Own,Lower,Married,Love,0,7.5
35,100150,Freelancer,PhD,Rural,Rented,Upper-Middle,Divorced,Arranged,0,6.0
38,75449,CA,Bachelors,Tier-1,Rented,Middle,Divorced,Love,0,6.5
24,169344,Doctor,Diploma,Tier-1,Own,Middle,Divorced,Love,0,13.5
26,40504,Business Owner,PhD,Tier-3,Rented,Lower,Single,Love,0,9.0
25,143048,Doctor,Bachelors,Rural,Rented,Lower,Divorced,Arranged,0,9.5
40,152854,Private Job,Masters,Tier-3,Own,Middle,Married,Arranged,0,7.5
24,147834,Software Engineer,Masters,Tier-1,Own,Lower,Divorced,Arranged,0,16.0
40,114802,CA,Diploma,Rural,Own,Lower,Divorced,Love,0,7.5
22,150014,Government Officer,PhD,Tier-1,Own,Upper,Single,Arranged,1,28.5
32,195106,Freelancer,Bachelors,Tier-2,Rented,Upper,Married,Love,0,3.5
36,47832,CA,Masters,Rural,Rented,Upper,Single,Love,0,8.0
40,100743,Government Officer,Masters,Tier-1,Own,Upper,Single,Arranged,1,25.0
30,156443,Freelancer,Masters,Tier-3,Own,Upper,Single,Love,0,14.5
29,183943,CA,Masters,Tier-1,Own,Lower,Married,Arranged,0,13.0
25,182201,Business Owner,Masters,Tier-3,Rented,Upper-Middle,Single,Arranged,0,17.0
30,102576,Business Owner,PhD,Rural,Own,Upper,Divorced,Arranged,0,11.0
26,58844,Private Job,PhD,Tier-3,Rented,Middle,Single,Arranged,0,10.5
35,139680,Business Owner,Masters,Tier-3,Own,Upper-Middle,Divorced,Arranged,0,12.5
40,130873,Business Owner,PhD,Tier-1,Own,Lower,Married,Arranged,0,10.5
40,167013,Government Officer,Masters,Tier-1,Own,Lower,Married,Love,1,16.0
33,83417,Government Officer,Masters,Tier-1,Rented,Middle,Divorced,Arranged,1,16.0
27,82261,Private Job,PhD,Tier-1,Rented,Upper,Married,Arranged,0,4.0
33,39806,Government Officer,Diploma,Tier-3,Rented,Upper,Married,Love,1,2.5
33,137757,Freelancer,Diploma,Tier-3,Rented,Upper,Divorced,Arranged,0,5.5
26,132985,Business Owner,PhD,Tier-1,Own,Upper-Middle,Married,Love,0,8.5
28,172569,Software Engineer,Bachelors,Tier-1,Own,Middle,Married,Arranged,0,11.5
34,167422,Business Owner,Diploma,Tier-2,Own,Middle,Divorced,Love,0,11.0
36,128732,Government Officer,Masters,Tier-2,Own,Upper-Middle,Married,Arranged,1,15.0
31,60781,Government Officer,PhD,Tier-2,Own,Upper,Single,Arranged,1,23.0
40,118518,Business Owner,Masters,Tier-1,Rented,Middle,Single,Love,0,13.5
25,91400,Software Engineer,PhD,Tier-2,Own,Lower,Divorced,Arranged,0,13.5
32,45450,Freelancer,Masters,Rural,Own,Middle,Single,Arranged,0,10.0
24,105213,Freelancer,Masters,Rural,Own,Upper,Married,Love,0,1.0
33,139752,Government Officer,Bachelors,Rural,Rented,Middle,Married,Love,1,7.5
33,25952,Freelancer,Bachelors,Tier-1,Rented,Lower,Divorced,Love,0,1.0
23,109777,Business Owner,Diploma,Tier-1,Rented,Lower,Single,Love,0,11.0
28,171198,Freelancer,PhD,Rural,Own,Upper-Middle,Single,Love,0,15.5
26,154574,Doctor,PhD,Rural,Rented,Lower,Married,Arranged,0,7.0
36,180272,Private Job,Masters,Tier-2,Rented,Lower,Divorced,Love,0,10.0
37,195714,Doctor,Masters,Tier-3,Own,Upper-Middle,Divorced,Arranged,0,17.0
32,152956,Private Job,Diploma,Rural,Rented,Lower,Single,Arranged,0,11.5
31,166374,Private Job,Diploma,Tier-3,Rented,Upper,Married,Arranged,0,3.0
33,169231,Freelancer,Diploma,Rural,Rented,Upper-Middle,Married,Love,0,-1.0
27,34363,Software Engineer,PhD,Rural,Rented,Upper-Middle,Divorced,Arranged,0,5.5
39,67242,Business Owner,PhD,Tier-1,Rented,Lower,Divorced,Arranged,0,9.0
40,110159,Software Engineer,Masters,Tier-2,Rented,Upper-Middle,Married,Love,0,3.5
24,53856,CA,Masters,Rural,Own,Middle,Married,Love,0,1.5
40,114629,Private Job,PhD,Tier-1,Own,Upper-Middle,Married,Arranged,0,8.5
24,115809,Private Job,Masters,Tier-1,Own,Lower,Divorced,Love,0,10.5
29,29901,Software Engineer,PhD,Rural,Rented,Lower,Married,Love,0,-2.0
27,188677,Business Owner,Masters,Tier-3,Own,Middle,Divorced,Love,0,13.0
29,125303,Software Engineer,Bachelors,Rural,Rented,Middle,Married,Arranged,0,3.0
30,178655,Government Officer,Bachelors,Rural,Rented,Upper-Middle,Divorced,Arranged,1,16.5
37,42864,Government Officer,Masters,Tier-3,Rented,Middle,Married,Love,1,5.0
38,92081,CA,Masters,Tier-2,Rented,Middle,Married,Arranged,0,4.5
38,129253,Business Owner,Diploma,Rural,Rented,Middle,Married,Love,0,-1.0
27,27588,CA,Bachelors,Tier-1,Rented,Middle,Married,Love,0,-1.0
36,46962,Government Officer,Bachelors,Rural,Rented,Lower,Married,Arranged,1,5.0
32,99618,CA,PhD,Rural,Own,Middle,Married,Arranged,0,6.5
35,45995,Business Owner,Diploma,Rural,Own,Upper,Divorced,Love,0,3.0
39,28681,Software Engineer,PhD,Tier-1,Rented,Middle,Single,Love,0,11.0
34,53310,Software Engineer,Bachelors,Tier-3,Own,Upper,Married,Love,0,1.5
33,65804,Business Owner,Diploma,Tier-1,Rented,Upper,Divorced,Arranged,0,6.0
34,166021,Government Officer,Bachelors,Tier-2,Own,Lower,Married,Love,1,14.0
37,138831,Government Officer,Masters,Tier-1,Own,Upper-Middle,Divorced,Arranged,1,21.5
22,67475,CA,Diploma,Tier-2,Rented,Upper,Married,Arranged,0,1.0
35,122099,Software Engineer,Diploma,Tier-1,Own,Upper-Middle,Single,Arranged,0,18.0
30,160328,Private Job,PhD,Tier-2,Rented,Upper,Married,Arranged,0,7.0
32,141754,Private Job,Diploma,Tier-1,Rented,Lower,Divorced,Arranged,0,9.0
40,145717,Private Job,Bachelors,Tier-2,Own,Upper-Middle,Single,Arranged,0,17.0
34,35892,Private Job,Diploma,Rural,Rented,Upper,Single,Arranged,0,5.5
31,72697,Private Job,Diploma,Rural,Rented,Middle,Single,Arranged,0,7.5
35,33742,Business Owner,Masters,Tier-2,Rented,Middle,Married,Arranged,0,0.5
32,172449,CA,Bachelors,Tier-2,Rented,Middle,Divorced,Arranged,0,12.5
32,89837,Doctor,PhD,Tier-2,Rented,Upper,Single,Love,0,13.5
36,141908,CA,Masters,Rural,Rented,Middle,Single,Love,0,13.0
26,49644,Software Engineer,Diploma,Rural,Rented,Upper,Divorced,Love,0,1.0
38,150043,Software Engineer,Diploma,Tier-2,Rented,Upper-Middle,Married,Love,0,3.5
38,144972,CA,Bachelors,Tier-1,Own,Upper,Divorced,Arranged,0,15.0
22,82337,Software Engineer,Masters,Rural,Own,Upper-Middle,Single,Arranged,0,15.0
31,35492,Private Job,Bachelors,Tier-1,Own,Upper,Divorced,Love,0,5.5
38,137771,Freelancer,Masters,Tier-3,Rented,Upper,Divorced,Love,0,5.5
31,22349,Freelancer,PhD,Rural,Own,Upper-Middle,Married,Arranged,0,0.0
35,190536,Doctor,PhD,Tier-1,Own,Middle,Divorced,Arranged,0,20.0
37,116494,Government Officer,Masters,Rural,Own,Upper,Divorced,Arranged,1,17.5
29,149057,CA,PhD,Tier-2,Rented,Upper-Middle,Single,Arranged,0,18.0
28,23217,Software Engineer,Masters,Tier-2,Rented,Lower,Divorced,Love,0,4.0
35,60778,Software Engineer,Diploma,Rural,Rented,Upper,Divorced,Arranged,0,4.0
38,109912,Private Job,Bachelors,Rural,Own,Middle,Divorced,Love,0,6.0
33,183600,Private Job,Bachelors,Tier-3,Rented,Upper,Divorced,Arranged,0,10.0
40,44108,Private Job,Masters,Tier-2,Own,Middle,Married,Arranged,0,3.0
24,185156,Freelancer,PhD,Tier-3,Own,Lower,Single,Love,0,17.0
33,89895,Doctor,Masters,Tier-2,Rented,Middle,Single,Arranged,0,14.5
29,100560,CA,Masters,Rural,Own,Upper,Single,Love,0,14.0
37,176212,CA,Diploma,Rural,Rented,Upper,Married,Love,0,2.5
38,193452,CA,Masters,Tier-2,Rented,Upper-Middle,Married,Love,0,7.5
30,152471,Private Job,Bachelors,Tier-2,Rented,Middle,Single,Arranged,0,14.5
34,150953,Freelancer,Diploma,Tier-3,Own,Middle,Single,Love,0,12.5
29,136617,Freelancer,Bachelors,Rural,Own,Upper-Middle,Married,Love,0,1.5
23,166651,Business Owner,PhD,Tier-2,Own,Upper,Married,Love,0,9.0
26,76799,CA,PhD,Tier-3,Own,Middle,Married,Love,0,4.5
37,78526,Private Job,Bachelors,Tier-2,Own,Upper-Middle,Married,Love,0,1.5
29,116113,CA,Bachelors,Tier-1,Own,Middle,Single,Love,0,16.5
29,153126,Business Owner,PhD,Tier-3,Own,Upper,Single,Arranged,0,19.5
32,91865,Doctor,Diploma,Tier-1,Rented,Lower,Divorced,Love,0,7.0
35,49980,Private Job,Masters,Tier-2,Rented,Upper,Married,Arranged,0,0.0
23,110309,Doctor,PhD,Tier-3,Rented,Upper,Married,Love,0,4.0
27,82267,Software Engineer,Diploma,Tier-3,Own,Lower,Married,Arranged,0,4.0
24,35411,Private Job,Bachelors,Rural,Own,Upper-Middle,Divorced,Love,0,2.5
30,95303,Software Engineer,PhD,Tier-2,Own,Middle,Divorced,Arranged,0,13.5
40,134321,Software Engineer,Masters,Rural,Own,Lower,Married,Love,0,5.5
39,117852,Private Job,Masters,Rural,Rented,Lower,Divorced,Love,0,4.5
36,154529,Software Engineer,PhD,Tier-1,Rented,Middle,Married,Love,0,7.5
31,64600,Doctor,Bachelors,Tier-3,Own,Upper,Single,Love,0,12.5
38,33175,CA,Bachelors,Rural,Own,Upper,Single,Arranged,0,11.5
38,71622,Doctor,Diploma,Tier-3,Own,Middle,Single,Arranged,0,14.0
25,91130,CA,Diploma,Rural,Own,Lower,Married,Arranged,0,3.5
39,118698,Private Job,Masters,Tier-3,Own,Upper-Middle,Divorced,Love,0,8.5
26,193110,CA,Masters,Tier-1,Rented,Middle,Married,Arranged,0,10.5
29,113426,Software Engineer,Diploma,Tier-3,Rented,Upper-Middle,Divorced,Arranged,0,7.5
37,87332,Business Owner,Bachelors,Rural,Own,Middle,Married,Arranged,0,3.0
35,31963,Freelancer,PhD,Tier-2,Own,Upper,Single,Love,0,10.5
39,175145,Doctor,Bachelors,Tier-2,Own,Upper-Middle,Married,Love,0,9.0
40,159581,Software Engineer,Bachelors,Rural,Rented,Upper-Middle,Married,Love,0,2.5
22,25354,Private Job,Bachelors,Rural,Rented,Lower,Single,Arranged,0,6.0
30,178239,CA,Masters,Rural,Rented,Lower,Divorced,Arranged,0,11.5
37,145125,Freelancer,PhD,Rural,Own,Upper-Middle,Married,Love,0,4.0
25,53028,Government Officer,Masters,Tier-3,Rented,Middle,Married,Arranged,1,7.5
29,136140,Government Officer,PhD,Tier-2,Rented,Lower,Divorced,Love,1,16.5
39,191304,Doctor,PhD,Tier-2,Own,Upper,Divorced,Arranged,0,19.0
33,110176,Software Engineer,Bachelors,Tier-2,Rented,Upper,Single,Arranged,0,14.5
28,75165,Government Officer,Diploma,Tier-2,Own,Upper,Married,Arranged,1,10.5
30,26138,Software Engineer,Diploma,Tier-2,Rented,Upper,Divorced,Love,0,2.0
40,189051,Private Job,Bachelors,Tier-1,Own,Upper,Divorced,Love,0,13.0
23,97240,Private Job,Diploma,Tier-2,Own,Lower,Divorced,Arranged,0,8.5
32,22094,Software Engineer,PhD,Tier-2,Own,Middle,Married,Arranged,0,5.0
31,171350,CA,Diploma,Tier-1,Rented,Middle,Single,Love,0,15.5
26,119128,Business Owner,Masters,Rural,Rented,Upper-Middle,Divorced,Love,0,5.5
24,21336,Business Owner,PhD,Tier-3,Own,Middle,Divorced,Love,0,6.0
40,191286,Software Engineer,Bachelors,Tier-3,Own,Middle,Divorced,Love,0,13.5
23,120700,CA,PhD,Tier-3,Own,Middle,Divorced,Love,0,12.0
35,82141,Government Officer,Bachelors,Rural,Rented,Upper-Middle,Married,Arranged,1,7.0
24,65327,Doctor,PhD,Tier-2,Own,Middle,Married,Love,0,5.5
34,42934,Software Engineer,Bachelors,Tier-3,Rented,Middle,Divorced,Love,0,3.0
38,148361,Government Officer,Masters,Rural,Own,Upper-Middle,Single,Love,1,22.0
27,97881,Private Job,Masters,Tier-3,Rented,Lower,Single,Love,0,9.5
28,30096,Business Owner,Diploma,Rural,Own,Upper,Married,Love,0,-2.5
33,83746,Private Job,Diploma,Tier-3,Rented,Upper-Middle,Single,Love,0,7.0
37,108843,Private Job,Masters,Tier-2,Own,Lower,Single,Arranged,0,16.0
29,90522,Private Job,Bachelors,Tier-1,Own,Lower,Divorced,Arranged,0,10.5
34,88321,Doctor,Masters,Rural,Rented,Upper,Single,Love,0,10.5
31,136238,Doctor,Masters,Tier-1,Rented,Lower,Divorced,Arranged,0,13.0
40,196210,Software Engineer,PhD,Tier-3,Rented,Upper,Divorced,Love,0,12.5
36,24181,Government Officer,Masters,Tier-1,Own,Upper-Middle,Married,Love,1,9.0
36,45404,Government Officer,PhD,Tier-2,Own,Upper-Middle,Married,Arranged,1,12.0
28,61100,Freelancer,PhD,Rural,Rented,Upper,Married,Love,0,-3.0
32,185245,Business Owner,Bachelors,Tier-2,Rented,Middle,Single,Love,0,15.0
39,124965,Freelancer,Diploma,Rural,Own,Upper-Middle,Single,Arranged,0,12.0
33,50562,Private Job,Masters,Tier-3,Own,Upper-Middle,Single,Arranged,0,12.5
40,31305,Private Job,PhD,Rural,Own,Upper,Divorced,Arranged,0,6.5
35,152643,CA,Diploma,Tier-3,Rented,Middle,Married,Love,0,2.5
27,147661,Doctor,PhD,Tier-3,Own,Upper,Single,Arranged,0,20.5
28,40068,CA,Diploma,Tier-3,Own,Lower,Divorced,Arranged,0,7.0
24,22524,Freelancer,Masters,Tier-3,Own,Upper-Middle,Divorced,Love,0,3.0
35,109064,CA,Masters,Tier-3,Own,Upper-Middle,Single,Love,0,15.0
34,96978,Government Officer,Diploma,Tier-3,Rented,Upper,Single,Arranged,1,17.5
27,33527,Government Officer,Diploma,Tier-2,Rented,Middle,Married,Love,1,3.5
23,106886,Doctor,Bachelors,Tier-1,Own,Upper,Divorced,Arranged,0,13.5
40,54804,Private Job,Bachelors,Tier-3,Rented,Lower,Divorced,Arranged,0,3.5
39,53130,Business Owner,PhD,Rural,Own,Upper-Middle,Divorced,Arranged,0,8.5
24,75837,Doctor,Diploma,Tier-3,Own,Upper,Single,Love,0,12.0
28,126983,CA,PhD,Tier-3,Rented,Upper-Middle,Single,Love,0,14.0
34,160743,CA,Bachelors,Tier-3,Own,Upper-Middle,Married,Love,0,7.0
33,165559,Business Owner,PhD,Rural,Own,Middle,Married,Love,0,7.0
27,84829,Doctor,Bachelors,Tier-2,Rented,Upper,Divorced,Arranged,0,8.5
38,178998,Software Engineer,Bachelors,Tier-1,Own,Upper-Middle,Divorced,Love,0,14.5
31,78764,CA,Bachelors,Tier-1,Rented,Upper,Divorced,Arranged,0,8.5
26,110477,Freelancer,Bachelors,Tier-2,Rented,Upper-Middle,Single,Love,0,9.5
37,188878,Doctor,Masters,Tier-1,Rented,Upper,Married,Love,0,8.5
38,196027,Software Engineer,Masters,Tier-2,Own,Lower,Married,Love,0,10.5
24,86319,Software Engineer,PhD,Tier-2,Rented,Middle,Divorced,Arranged,0,10.0
24,71627,Software Engineer,Masters,Rural,Own,Middle,Single,Arranged,0,14.5
40,130697,CA,Bachelors,Tier-2,Own,Lower,Married,Arranged,0,8.5
27,152473,CA,PhD,Tier-2,Rented,Lower,Divorced,Love,0,11.5
30,133043,Freelancer,Diploma,Tier-1,Rented,Middle,Married,Love,0,0.5
40,83083,Freelancer,Diploma,Tier-2,Own,Upper,Single,Arranged,0,12.0
27,143015,Freelancer,Masters,Tier-3,Rented,Upper,Married,Arranged,0,3.0
29,42100,Software Engineer,Bachelors,Rural,Own,Upper-Middle,Divorced,Arranged,0,7.0
26,155436,Software Engineer,Masters,Tier-1,Own,Middle,Married,Arranged,0,11.5
36,182984,Government Officer,Bachelors,Rural,Rented,Upper-Middle,Single,Arranged,1,22.0
22,96602,Business Owner,Diploma,Rural,Rented,Upper,Divorced,Love,0,2.5
34,59724,Doctor,Diploma,Tier-3,Rented,Middle,Divorced,Love,0,3.0
32,72745,Business Owner,PhD,Tier-2,Own,Lower,Single,Arranged,0,16.5
37,171667,Doctor,Masters,Tier-3,Own,Middle,Single,Love,0,19.0
32,79057,Government Officer,PhD,Tier-2,Own,Upper,Single,Arranged,1,23.5
26,127399,Government Officer,Masters,Tier-3,Rented,Upper,Single,Love,1,19.0
32,131496,Doctor,Masters,Tier-3,Own,Upper-Middle,Single,Arranged,0,19.0
26,153713,Software Engineer,PhD,Tier-1,Own,Lower,Single,Love,0,20.5
34,52060,Software Engineer,Bachelors,Tier-2,Rented,Upper,Married,Arranged,0,1.5
26,84659,Software Engineer,Diploma,Tier-2,Own,Middle,Single,Love,0,13.0
32,70121,CA,PhD,Tier-1,Rented,Upper-Middle,Married,Love,0,3.5
31,64407,Government Officer,Bachelors,Tier-3,Own,Upper,Divorced,Arranged,1,15.0
40,195037,Private Job,Bachelors,Tier-3,Own,Upper,Married,Arranged,0,8.5
37,146000,Freelancer,Bachelors,Tier-3,Own,Lower,Divorced,Love,0,8.0
35,164553,Government Officer,Masters,Rural,Own,Middle,Divorced,Arranged,1,20.0
32,195900,Freelancer,Masters,Rural,Own,Upper-Middle,Divorced,Arranged,0,12.5
31,95882,CA,Masters,Tier-2,Rented,Upper-Middle,Single,Love,0,12.5
35,78702,CA,Masters,Tier-3,Rented,Middle,Divorced,Arranged,0,7.5
35,121756,Doctor,PhD,Rural,Rented,Upper,Single,Love,0,13.5
26,92391,Doctor,Masters,Tier-1,Rented,Middle,Single,Love,0,14.0
23,157029,Doctor,Bachelors,Tier-3,Rented,Upper-Middle,Single,Love,0,14.0
31,49686,Government Officer,Bachelors,Tier-3,Own,Lower,Divorced,Arranged,1,14.0
29,127437,Doctor,Masters,Tier-2,Rented,Upper,Married,Arranged,0,6.5
32,83503,Freelancer,Diploma,Tier-1,Own,Upper-Middle,Divorced,Arranged,0,8.0
34,27566,Business Owner,Diploma,Rural,Rented,Middle,Married,Love,0,-6.0
22,20281,Freelancer,Masters,Tier-1,Rented,Middle,Divorced,Arranged,0,4.0
35,21456,Software Engineer,PhD,Tier-3,Own,Upper-Middle,Married,Arranged,0,4.0
35,41741,Software Engineer,PhD,Rural,Rented,Middle,Divorced,Love,0,4.0
27,141888,Business Owner,PhD,Rural,Own,Lower,Divorced,Love,0,11.0
36,193507,Government Officer,Diploma,Rural,Own,Lower,Single,Love,1,22.5
26,49631,Software Engineer,Bachelors,Tier-3,Rented,Upper,Divorced,Love,0,3.0
30,84690,Business Owner,Diploma,Tier-1,Own,Upper-Middle,Single,Arranged,0,15.0
27,81701,Software Engineer,Masters,Tier-3,Own,Lower,Married,Love,0,4.0
35,130660,Government Officer,PhD,Tier-1,Rented,Middle,Divorced,Arranged,1,19.5
26,130461,Government Officer,Masters,Tier-3,Rented,Middle,Single,Arranged,1,21.5
30,118096,CA,Masters,Tier-1,Own,Lower,Single,Love,0,17.5
32,122770,Private Job,Masters,Tier-3,Rented,Upper,Divorced,Love,0,6.0
33,189940,Doctor,Bachelors,Tier-3,Own,Upper,Married,Arranged,0,10.5
33,99864,Private Job,Diploma,Tier-3,Own,Upper,Married,Arranged,0,2.5
28,186459,CA,Diploma,Tier-1,Rented,Upper-Middle,Married,Arranged,0,8.0
32,53499,CA,Bachelors,Tier-1,Own,Upper-Middle,Divorced,Love,0,8.5
22,65769,Business Owner,Masters,Tier-1,Own,Upper-Middle,Single,Arranged,0,16.0
35,149831,Doctor,Masters,Tier-2,Own,Middle,Married,Arranged,0,10.5
23,31379,Business Owner,Masters,Tier-3,Own,Middle,Single,Arranged,0,12.5
29,175705,Business Owner,Masters,Tier-3,Rented,Upper,Divorced,Love,0,9.5
27,61799,CA,Bachelors,Tier-1,Own,Middle,Married,Arranged,0,6.0
40,87529,Government Officer,PhD,Tier-1,Rented,Upper-Middle,Single,Love,1,20.0
